from	to
1559977_a_at	SLC25A34
1559979_at	SYF2
1559980_at	ZNF7
1559982_s_at	AKR1E2
1559986_at	LIFR-AS1
1559986_at	MIR3650
1559988_at	ZNF483
1559989_at	TPM4
1559992_a_at	LINC00645
1559993_at	SFXN3
1559995_at	SAMD14
1559996_s_at	SAMD14
1559997_x_at	SAMD14
1560001_at	LOC100131581
1560002_at	DQ594366
1560006_a_at	LOC646762
1560007_at	LOC645984
1560010_a_at	SATB2-AS1
1560011_at	AX747544
1560011_at	JRK
1560013_at	PDXDC1
1560014_s_at	PDXDC1
1560017_at	TMTC3
1560018_at	ARPP21
1560019_at	DLGAP1-AS2
1560020_at	DNAJC13
1560025_at	AK094644
1560028_at	C11orf57
1560029_a_at	C11orf57
1560030_at	LOC283692
1560031_at	FRMD4A
1560033_at	MCCC2
1560035_at	RTP5
1560038_at	LOC100506071
1560042_at	RMDN2
1560043_at	CYB5R1
1560058_at	LOC399900
1560059_at	VPS37C
1560060_s_at	VPS37C
1560062_at	SLC29A2
1560063_a_at	CTD-2540F13.2
1560065_at	PAIP2
1560068_a_at	LOC729870
1560069_at	PLEKHM3
1560070_at	LOC101928191
1560071_a_at	RP1-30M3.5
1560074_at	PRKCA
1560078_at	LAMA3
1560080_at	DIAPH1
1560081_at	RAD51-AS1
1560087_a_at	RP5-1102E8.3
1560089_at	LOC100289019
1560091_a_at	PHF21B
1560097_at	FHAD1
1560099_at	LOC440416
1560100_at	DLX1
1560101_at	SYDE2
1560105_at	PTPRB
1560108_at	AK055458
1560109_s_at	AK055458
1560112_at	WDFY2
1560115_a_at	KIAA1217
1560116_a_at	NEDD1
1560117_at	ABHD1
1560119_at	LINC00937
1560128_x_at	C5orf56
1560129_at	FW340027
1560130_at	C1orf145
1560131_at	LOC100506497
1560135_at	BC035400
1560136_at	ARL5C
1560138_at	KIAA0226
1560141_at	LOC100133039
1560142_at	GRIK2
1560145_at	AK057978
1560145_at	MKLN1
1560147_at	WDR86-AS1
1560148_at	RP11-378J18.8
1560149_at	SLC29A2
1560151_x_at	SLC29A2
1560153_at	FRAS1
1560156_at	LOC101928054
1560161_at	RP11-59H7.3
1560162_at	LOC643549
1560164_at	LOC101927990
1560168_at	LINC01330
1560169_at	LOC101927069
1560172_at	INTS10
1560174_at	SPAG16
1560175_at	PPP4R1L
1560176_s_at	PPP4R1L
1560177_at	CCDC66
1560180_at	LOC101929456
1560181_at	LDLRAD4-AS1
1560182_at	LOC101927066
1560184_at	TMCO5A
1560197_at	ZC2HC1A
1560198_at	LINC00523
1560201_at	ZNF713
1560202_at	CSTF3-AS1
1560204_at	NT5DC4
1560207_at	MIR3610
1560207_at	RAD21-AS1
1560208_at	LOC101930593
1560208_at	LOC102724352
1560212_a_at	LOC101929248
1560213_at	HCP5B
1560219_at	ASB3
1560219_at	AX747197
1560220_a_at	CBY1
1560224_at	AHCTF1
1560224_at	AHCTF1P1
1560225_at	CNR1
1560227_at	GDPD1
1560228_at	SNAI3
1560238_at	LOC101927667
1560240_at	LINC01293
1560241_at	LOC101928682
1560246_at	LOC101929524
1560250_s_at	LOC284242
1560251_at	LOC645485
1560253_at	LHX9
1560255_at	CELF2-AS1
1560257_at	LOC101928988
1560258_a_at	CTB-92J24.2
1560260_at	LOC285593
1560262_at	AP001189.4
1560265_at	GRIK2
1560274_at	WTAP
1560275_at	TMEM44
1560276_at	C12orf80
1560277_a_at	C12orf80
1560278_at	LOC221122
1560279_a_at	LOC221122
1560281_a_at	TMEM95
1560282_at	LOC101928590
1560285_at	LOC101928955
1560286_s_at	LOC101928955
1560288_at	LOC101927196
1560291_at	RIPPLY1
1560292_a_at	TMCO4
1560295_at	CYP19A1
1560298_at	LOC101929261
1560300_a_at	DMRTC1
1560300_a_at	DMRTC1B
1560303_at	FKBP4
1560305_x_at	FKBP4
1560306_at	RP11-68I3.11
1560315_at	GLCCI1
1560316_s_at	GLCCI1
1560317_s_at	HIP1
1560318_at	ARHGAP29
1560320_a_at	C1RL-AS1
1560322_at	RBMS3
1560330_at	PCDH15
1560334_at	MEGF11
1560337_at	LINC01289
1560339_s_at	NAP1L4
1560340_s_at	RP9P
1560348_at	ARHGEF28
1560352_at	ENTPD1-AS1
1560352_at	LOC101927104
1560354_at	CTD-2083E4.4
1560359_at	ITGA1
1560369_at	ANKH
1560370_x_at	ANKH
1560371_at	LINC00997
1560378_at	GRIK1-AS2
1560380_at	LOC497256
1560382_at	GAB1
1560383_at	BC042091
1560383_at	RP11-752D24.2
1560384_a_at	BC042091
1560384_a_at	RP11-752D24.2
1560390_s_at	LINC00663
1560391_at	PIGL
1560396_at	KLHL6
1560397_s_at	KLHL6
1560399_a_at	OTUD7A
1560402_at	GAS5
1560404_a_at	DPH6
1560407_at	MARK1
1560410_at	LOC101928251
1560412_at	LOC100507506
1560413_at	LINC00298
1560416_at	DNAH11
1560418_at	CEP57L1
1560419_at	LOC100127974
1560424_at	AK098263
1560425_s_at	RP11-75C9.1
1560426_at	C12orf55
1560430_at	NKPD1
1560431_at	AK096159
1560432_at	CLRN1-AS1
1560434_x_at	CLTA
1560435_at	AX748292
1560439_at	LINGO3
1560445_x_at	ARHGEF1
1560446_at	IPO5P1
1560448_at	PRR7-AS1
1560449_at	LOC101927543
1560455_at	LOC339166
1560455_at	WSCD1
1560456_at	PLIN5
1560457_x_at	PLIN5
1560458_s_at	CAPS2
1560460_at	RP11-798M19.6
1560463_at	LOC283788
1560464_at	TSPAN10
1560467_at	PAQR9
1560469_at	NR5A2
1560472_at	LINC00705
1560475_at	LOC100129455
1560477_a_at	SAMD11
1560482_at	BC034423
1560482_at	RP11-966I7.2
1560485_at	HIVEP1
1560486_at	STXBP3
1560488_at	LCNL1
1560490_at	FAT3
1560491_at	LOC102546299
1560493_a_at	CPXCR1
1560494_a_at	CPXCR1
1560495_at	LOC101929741
1560496_at	LOC101928200
1560499_at	C14orf64
1560503_a_at	TFAP2A-AS1
1560506_at	LOC101928161
1560507_at	AWAT1
1560510_at	ARHGEF7-IT1
1560511_at	CTA-268H5.14
1560513_at	LOC400568
1560514_at	LINC00636
1560516_at	LOC101928781
1560517_s_at	LOC101928781
1560520_at	LOC102724162
1560522_at	DLGAP1-AS3
1560523_at	AC005537.2
1560524_at	GRAPL
1560526_at	MAGI2-IT1
1560527_at	NFE4
1560531_at	LCE1B
1560533_at	LOC101928098
1560536_at	RP11-461A8.4
1560537_at	FGF13-AS1
1560538_at	LOC101928386
1560542_at	MCM3AP-AS1
1560543_at	GRK4
1560548_at	LINC00382
1560550_at	LOC101927722
1560553_at	TIAF1
1560554_a_at	C1orf145
1560556_a_at	PLEKHA8
1560558_at	INIP
1560560_at	LOC101927143
1560562_a_at	ZNF677
1560563_at	LOC101929552
1560565_at	LINC01333
1560566_at	LOC101926951
1560566_at	PCDH20
1560570_a_at	RP11-111J6.2
1560573_at	LINC00944
1560576_at	LOC101928845
1560579_s_at	SLC16A1-AS1
1560581_at	BC040886
1560581_at	RP11-804F13.1
1560582_a_at	BC040886
1560582_a_at	RP11-804F13.1
1560587_s_at	PRDX5
1560588_at	AC073321.4
1560589_a_at	LOC101928132
1560595_at	LOC100128993
1560599_a_at	CEP89
1560604_at	CTD-2021H9.3
1560609_at	CRYZL1
1560617_at	AP000266.7
1560617_at	BC034802
1560617_at	LOC100128198
1560618_at	AP001063.1
1560619_at	LINC00935
1560620_at	KCNK15
1560625_s_at	CATIP-AS1
1560630_at	RP11-109E24.2
1560631_at	CALCOCO2
1560633_a_at	C21orf91-OT1
1560634_a_at	AC007557.2
1560634_a_at	BC031974
1560636_a_at	HSPC081
1560637_at	BC039537
1560637_at	RP11-30L15.6
1560638_a_at	BC039537
1560638_a_at	RP11-30L15.6
1560646_at	METTL21EP
1560647_at	TSPYL1
1560648_s_at	TSPYL1
1560652_at	RP6-24A23.7
1560654_at	FLJ37201
1560656_at	LOC101928327
1560657_at	TIE1
1560659_at	LINC00342
1560661_x_at	LINC00342
1560662_s_at	WHAMMP2
1560662_s_at	WHAMMP3
1560665_at	SCPEP1
1560671_at	KIAA1652
1560673_at	LOC101929591
1560676_at	SIAH3
1560679_at	LINC01127
1560683_at	NBEAP1
1560684_x_at	NBEAP1
1560686_at	ITGAD
1560689_s_at	AKT2
1560690_at	LINC01153
1560692_at	VSTM2A
1560692_at	VSTM2A-OT1
1560694_at	SFT2D1
1560695_at	QTRTD1
1560696_x_at	QTRTD1
1560697_at	TRHDE-AS1
1560698_a_at	TRHDE-AS1
1560703_at	LYRM9
1560705_at	SLC25A28
1560706_at	NEDD9
1560707_at	LOC283856
1560712_at	TMPRSS11B
1560713_a_at	ELFN2
1560714_at	FLJ37035
1560715_at	P4HA3
1560716_at	LOC101929745
1560717_at	AC124997.1
1560720_at	MKNK1
1560723_at	LOC283731
1560724_at	TOR1AIP1
1560725_at	IL12A-AS1
1560727_at	HEATR4
1560733_at	ALG5
1560734_at	LOC101927079
1560734_at	LOC727924
1560734_at	OR4N4
1560735_s_at	LOC101927079
1560735_s_at	LOC102723532
1560735_s_at	LOC727924
1560735_s_at	OR4N4
1560741_at	SNRPN
1560741_at	SNURF
1560746_at	NEXN-AS1
1560750_at	LOC151121
1560751_at	AQP4-AS1
1560752_at	FBXW2
1560753_at	RP11-215E13.2
1560754_at	CMTM7
1560757_at	TOP1MT
1560760_s_at	LOC101927988
1560762_at	LINC00996
1560764_at	BC043540
1560765_a_at	BC043540
1560767_at	HCG22
1560770_at	PABPC1
1560771_at	RP11-285A1.1
1560772_a_at	RP11-285A1.1
1560773_at	DLGAP1
1560773_at	LOC102724716
1560779_a_at	ZNF568
1560781_at	DNHD1
1560785_at	DYRK3
1560787_at	LOC101929143
1560788_at	MYO3B
1560790_at	GOLGA6L2
1560791_at	LOC101928809
1560792_at	RP11-309G3.3
1560794_at	RP11-274B18.4
1560797_s_at	LOC101927830
1560797_s_at	TMLHE-AS1
1560803_at	DNAH3
1560806_at	LOC646743
1560806_at	TISP43
1560810_at	LOC101927735
1560812_at	LOC101928708
1560814_a_at	C15orf57
1560818_at	LINC00944
1560819_a_at	LINC00944
1560821_at	ARHGAP22
1560823_at	LOC340017
1560827_at	LOC101928725
1560830_a_at	C19orf84
1560832_at	LINC01029
1560833_at	LINC01189
1560833_at	LOC101927827
1560834_a_at	RMST
1560836_at	LINC01241
1560838_at	FAM217A
1560841_at	LOC389247
1560842_a_at	TEX26-AS1
1560844_at	BC040898
1560844_at	RP11-244K5.6
1560848_at	LOC101927490
1560850_at	LOC101926959
1560851_at	LINC00619
1560853_x_at	ZNF826P
1560854_s_at	ZNF107
1560856_at	ARHGAP26-AS1
1560861_at	AC090627.1
1560862_at	LOC101929684
1560863_a_at	RP11-91I8.1
1560866_at	WNK2
1560870_a_at	RP11-1012E15.1
1560872_at	RP11-513N24.1
1560874_at	EFCAB4B
1560877_a_at	RP11-21G15.1
1560878_at	SYT15
1560879_a_at	SYT15
1560881_a_at	LINC00112
1560884_at	SLC17A1
1560885_x_at	SLC17A1
1560890_at	LINC01088
1560891_a_at	LINC01088
1560895_at	LOC645188
1560897_a_at	KRTAP10-11
1560903_at	CTA-254O6.1
1560910_at	PPIL6
1560911_at	LOC100133461
1560912_at	LINC01120
1560915_at	DPY19L1
1560916_a_at	DPY19L1
1560920_s_at	LOC102725382
1560921_at	ZNF169
1560922_s_at	ZNF169
1560928_at	LOC151657
1560932_at	FLJ31356
1560934_at	LOC284669
1560935_s_at	LOC284669
1560937_at	RSU1
1560939_at	PCOLCE-AS1
1560940_at	SACS-AS1
1560941_a_at	SACS-AS1
1560942_at	PGD
1560943_s_at	PGD
1560944_at	SLC25A3P1
1560950_at	HECW1-IT1
1560954_at	LOC101928167
1560957_at	LOC101928626
1560958_s_at	LOC101928516
1560959_a_at	RP1-39J2.1
1560960_at	AY927499
1560963_a_at	LOC100506379
1560964_at	RP11-315F22.1
1560974_s_at	NOS1
1560977_a_at	BCL2L13
1560978_at	RP11-534L20.5
1560979_a_at	KB-1000E4.2
1560981_a_at	PPARA
1560982_at	RP11-452L6.1
1560988_a_at	LINC00556
1560992_at	LOC400590
1560994_x_at	LOC400590
1560996_at	RP3-507I15.2
1561003_at	RP11-298D21.2
1561004_at	PRKCQ-AS1
1561009_at	MAOB
1561010_a_at	MAOB
1561021_at	RP11-96H17.1
1561027_at	LOC646241
1561029_at	LINC01425
1561030_at	TMC7
1561033_at	LOC101927211
1561034_at	RP11-510C10.2
1561035_at	BC032026
1561035_at	RP11-526I2.1
1561036_at	BC032899
1561036_at	RP11-396C23.2
1561037_a_at	BC032899
1561037_a_at	RP11-396C23.2
1561038_at	ZNF81
1561039_a_at	ZNF81
1561041_at	TNRC6C
1561042_at	AGO2
1561042_at	CASC7
1561042_at	CASC7
1561044_at	LOC101928973
1561045_a_at	LOC101928973
1561048_at	RARS2
1561050_a_at	NAV2-IT1
1561052_s_at	AF086219
1561052_s_at	CTD-2647L4.1
1561054_a_at	CCDC14
1561055_at	LOC100507534
1561059_a_at	LINC00691
1561060_at	LOC101929752
1561061_at	LOC729506
1561062_a_at	LOC101928850
1561064_a_at	BC015159
1561069_at	BC036309
1561069_at	RP11-298H24.1
1561075_at	LOC101060553
1561078_at	RP11-403N16.3
1561079_at	ANKRD28
1561080_at	TXNRD1
1561082_at	NID1
1561083_at	LINC01254
1561084_at	BC044611
1561084_at	RP13-539F13.3
1561085_at	LOC153910
1561086_at	AC092667.2
1561088_at	EYA4
1561089_at	CTD-2199O4.3
1561089_at	CTD-2199O4.7
1561090_at	LOC400654
1561091_at	LINC01209
1561093_at	SLC22A25
1561094_a_at	SLC22A25
1561096_at	LINC01091
1561098_at	LINC00616
1561099_at	LOC642757
1561101_at	JAKMIP2-AS1
1561102_at	LOC101929488
1561103_at	LOC101929757
1561104_at	LOC101926962
1561105_at	CLDN11
1561106_at	LINC00271
1561110_at	BC042825
1561110_at	RP1-179N16.6
1561113_at	CTD-2302E22.4
1561114_a_at	DEPDC4
1561122_a_at	RAD51B
1561125_at	MTHFD1L
1561127_at	ADARB2-AS1
1561130_at	HECTD4
1561132_at	DHX35
1561136_at	GYPE
1561137_s_at	GYPE
1561141_at	LOC101929504
1561146_at	VPS35
1561165_a_at	DEFB108B
1561170_at	GOLGA6L6
1561171_a_at	GOLGA6L1
1561171_a_at	GOLGA6L22
1561171_a_at	GOLGA6L6
1561175_at	LOC283482
1561179_s_at	AMZ1
1561185_at	TTTY7
1561190_at	CDKL3
1561197_at	FLJ43315
1561197_at	LOC101927088
1561197_at	LOC101927527
1561197_at	LOC101929518
1561197_at	LOC442028
1561198_at	LOC100506127
1561200_at	VWA3B
1561206_at	KLHL8
1561207_at	RP11-53B2.2
1561210_at	LOC101928539
1561211_at	LOC101930541
1561212_at	AL022344.5
1561213_at	LINC01360
1561215_at	RP11-366L5.1
1561216_at	LOC101928961
1561218_s_at	LOC728099
1561221_x_at	LOC728099
1561222_at	LINC00485
1561223_at	RP11-677O4.2
1561224_at	LOC101927228
1561225_at	ANKRD30BP3
1561226_at	XCR1
1561228_at	LOC100506122
1561229_at	RP11-471M2.3
1561230_at	RP11-171I2.1
1561232_at	CASC11
1561233_at	LOC283387
1561237_at	LOC101929657
1561238_at	PEX2
1561243_at	TMEM105
1561244_at	RP11-112L7.1
1561245_at	LOC102724612
1561247_at	LOC101927112
1561249_a_at	DNM1P35
1561251_at	LINC01019
1561252_at	LOC648691
1561253_at	LOC101927901
1561254_at	LOC340340
1561256_at	RP5-991O23.1
1561257_at	LOC286083
1561261_at	CTD-2587M23.1
1561262_at	LOC101929025
1561263_at	C1QTNF3
1561266_at	LOC100507033
1561269_at	RAPGEF5
1561270_at	ZNF429
1561271_at	CCDC144CP
1561273_at	HOXC-AS3
1561274_at	CRYBB2P1
1561276_at	DOCK5
1561277_at	LOC339298
1561278_at	RP11-360A18.2
1561279_at	RP11-231E19.1
1561280_at	LEMD1-AS1
1561281_a_at	LEMD1-AS1
1561286_a_at	DIP2A
1561287_at	LINC00561
1561288_at	LINC00536
1561289_at	LOC286370
1561290_at	LOC339622
1561292_at	RP11-37C7.3
1561294_a_at	LOC100128554
1561297_at	WARS2
1561298_at	LINC01069
1561300_at	BC041998
1561301_at	MAGI1-IT1
1561303_at	LOC100506172
1561304_a_at	LOC100422781
1561305_at	LOC101927849
1561306_s_at	LOC101930630
1561306_s_at	STRC
1561307_at	BC043266
1561307_at	RP4-568F9.6
1561309_x_at	BC043266
1561309_x_at	RP4-568F9.6
1561311_at	LOC101927876
1561313_at	AL832615
1561313_at	AX747639
1561314_at	AK055055
1561314_at	RP11-752D24.2
1561318_at	RP11-84D1.2
1561319_at	OTX2-AS1
1561322_at	LOC101927450
1561323_at	LOC339975
1561327_at	LINC00242
1561328_at	MIR3663HG
1561329_s_at	RPUSD3
1561330_at	DSG4
1561331_at	ERVMER61-1
1561332_at	ATP13A5
1561333_at	RP11-753D20.4
1561334_at	LOC285181
1561335_at	LOC440602
1561336_at	DNASE1L3
1561339_at	LOC101927273
1561340_at	RP11-257I14.1
1561342_at	LOC150005
1561343_a_at	LOC150005
1561345_at	LOC101928009
1561346_at	LOC101927166
1561347_a_at	LOC101927166
1561348_at	LOC339874
1561352_at	LINC01204
1561353_at	LOC101927690
1561354_at	RP11-151E14.1
1561355_at	LOC692247
1561358_at	TXLNA
1561360_at	LOC101928661
1561361_at	ZNF660
1561365_at	NRP1
1561367_a_at	LINC00540
1561369_at	ELFN2
1561370_at	LOC100505716
1561371_at	FLJ39080
1561373_at	PACRG-AS1
1561375_at	RP11-806L2.2
1561378_at	C12orf42
1561383_at	LOC284661
1561384_a_at	LOC284661
1561386_at	AX747135
1561386_at	RP11-863K10.7
1561387_a_at	NXPE1
1561389_at	LOC101928205
1561390_at	FAM41AY1
1561390_at	FAM41AY2
1561391_at	STAU2-AS1
1561394_s_at	KIAA1755
1561396_at	EPHA6
1561398_at	LOC100996590
1561400_at	LINC01180
1561401_at	LOC285627
1561402_at	LINC00880
1561403_at	SOHLH1
1561405_s_at	CATSPER2
1561405_s_at	LOC101930343
1561405_s_at	STRC
1561407_at	ARAP2
1561407_at	LOC101928667
1561408_at	RP11-167H9.3
1561411_at	LINC01222
1561413_at	CTB-113P19.1
1561414_at	LINC01242
1561415_at	AK093205
1561417_x_at	AK093205
1561418_at	LOC101928245
1561419_at	LOC101927051
1561420_a_at	LOC101927051
1561421_a_at	AK057259
1561421_a_at	AK096803
1561422_at	BC043291
1561423_at	LINC00535
1561424_at	LOC101928907
1561425_a_at	ZNF568
1561427_at	LOC101928333
1561429_a_at	MAATS1
1561430_s_at	MAATS1
1561431_at	RP11-284F21.8
1561432_at	RP11-539G18.2
1561433_at	MED15P9
1561434_at	C15orf45
1561436_at	LOC101927877
1561437_at	MCHR2-AS1
1561439_at	RP11-953B20.1
1561440_at	RP11-330M19.1
1561442_at	LOC283585
1561443_at	LOC101928535
1561445_at	RP11-461L18.1
1561446_at	LOC101928443
1561448_at	BC041947
1561448_at	RP4-630C24.3
1561450_at	LOC101928618
1561451_a_at	LOC101928551
1561452_at	LOC101928551
1561454_at	LOC101929123
1561455_at	LOC284294
1561459_at	LOC101929526
1561460_at	LOC101928185
1561461_at	RP5-1103G7.10
1561468_at	BC043223
1561468_at	RP1-274L7.1
1561469_at	LOC101928865
1561471_at	CPEB2-AS1
1561472_at	LOC728805
1561473_at	LOC102546226
1561474_at	LOC101929312
1561476_at	CASC6
1561477_at	CCDC144A
1561478_at	LINC00560
1561481_at	LOC101928435
1561482_at	RSU1P2
1561485_at	IQCA1
1561486_at	ROCK1
1561487_at	RP11-300A12.2
1561488_at	CTA-331P3.1
1561489_at	ARHGAP15
1561489_at	LOC101928361
1561490_at	NPSR1-AS1
1561491_at	LOC283214
1561492_at	LINC01192
1561493_at	BC037892
1561493_at	RP11-1129I3.1
1561497_at	MIR3180-1
1561497_at	MIR3180-2
1561497_at	MIR3180-3
1561500_at	CTU2
1561501_s_at	CTU2
1561502_x_at	CTU2
1561503_at	MYLK4
1561504_s_at	MYLK4
1561506_at	BARX1-AS1
1561507_at	FFAR1
1561508_at	RP11-552F3.10
1561509_at	BEND7
1561511_at	RP11-510C10.4
1561512_at	LOC101928861
1561513_at	LOC101927310
1561514_at	LOC400655
1561516_at	LOC101928995
1561517_at	SSPN
1561518_at	LOC283914
1561519_at	LOC101927346
1561521_at	S100B
1561523_at	CCDC65
1561525_at	LOC101927494
1561527_at	LOC101927396
1561528_at	LOC101927592
1561529_at	RP11-352B15.2
1561530_at	LOC101927164
1561531_at	PLCH1-AS1
1561532_at	DACT3-AS1
1561535_at	LOC101928273
1561536_at	LOC283435
1561537_at	OGFRP1
1561539_at	LOC100506368
1561540_at	LINC00343
1561544_at	LOC101927058
1561545_at	EPN2-AS1
1561546_at	FGD5-AS1
1561550_at	LOC101928012
1561553_at	LOC101929147
1561554_at	LOC101928418
1561555_at	LINC00970
1561556_at	LOC101929648
1561557_at	BC040833
1561558_at	PRKG1-AS1
1561559_at	LOC101927948
1561560_at	RP11-95H11.1
1561562_at	RP11-303E16.7
1561566_at	LINC01098
1561567_at	LOC101928491
1561571_at	LOC730139
1561572_at	LOC101929284
1561573_at	LOC101927523
1561575_at	AC013733.4
1561576_a_at	AC013733.4
1561577_at	LOC101928475
1561578_s_at	SLC25A53
1561579_at	LOC728445
1561581_at	BC035247
1561581_at	RP11-18H7.1
1561584_at	BC044765
1561584_at	RP11-96B5.4
1561585_at	RCBTB2
1561587_at	LINC00907
1561589_a_at	NBEAL1
1561590_a_at	CNTFR-AS1
1561592_at	LOC101928823
1561593_at	BC032916
1561593_at	RP11-400D2.2
1561595_x_at	OR7D2
1561598_at	RP11-333O1.1
1561602_at	LOC100129476
1561605_at	LOC101928326
1561606_at	RP11-579O24.3
1561607_at	LOC101929384
1561608_at	RP11-472K22.1
1561609_at	BC028044
1561614_at	SLC8A1
1561615_s_at	SLC8A1
1561616_a_at	DNAH6
1561617_at	DNAH6
1561618_at	DPP10-AS3
1561619_at	LOC101929478
1561622_at	LOC101928314
1561624_at	LOC101927537
1561625_at	LOC101928565
1561633_at	HMGA2
1561650_s_at	LOC285692
1561651_s_at	TAL1
1561652_at	BECN1
1561660_at	SLC25A53
1561665_at	RP11-266L9.1
1561666_a_at	PSMG3-AS1
1561667_at	LOC102724640
1561671_at	LOC286121
1561676_at	PRICKLE2-AS3
1561677_at	MACROD2
1561678_at	LOC101929486
1561679_at	RP11-544D21.2
1561682_at	TTLL7-IT1
1561683_at	RP11-410C4.5
1561685_a_at	LOC441178
1561687_a_at	ZNF382
1561688_at	LOC101929662
1561691_at	LINC00326
1561692_at	RP11-319G9.3
1561693_at	LOC400794
1561699_a_at	ATP11A-AS1
1561702_at	RP11-753A21.2
1561704_at	LOC101927829
1561705_at	BC037861
1561705_at	CTD-2036P10.3
1561707_at	LINC00895
1561708_at	MB21D1
1561710_at	SNX19
1561713_at	CTD-2076M15.1
1561714_a_at	B3GALNT2
1561719_at	LOC101928196
1561720_at	RECQL5
1561721_a_at	C12orf40
1561723_at	RP11-6F2.5
1561726_s_at	CD81-AS1
1561728_a_at	LINC00642
1561732_at	LOC101929181
1561739_at	RP11-1C8.6
1561741_at	LOC101929224
1561757_a_at	LOC283352
1561759_at	LOC645513
1561760_s_at	LOC645513
1561761_x_at	LOC645513
1561785_at	MUC4
1561795_at	LINC01393
1561806_at	BC028670
1561817_at	AX747630
1561820_at	SCN8A
1561846_s_at	CCDC168
1561847_at	NUDT17
1561849_at	PKD1L2
1561850_at	LOC100133669
1561853_a_at	IL23R
1561860_at	BC042029
1561868_at	RP4-584D14.7
1561877_at	LOC100996624
1561880_a_at	SIGLEC16
1561881_at	LOC100505718
1561882_at	SYTL3
1561884_at	CEPT1
1561889_at	AC078842.4
1561889_at	AK094915
1561890_at	C10orf128
1561891_at	LOC101928668
1561892_at	ZMYM6
1561894_at	C7orf49
1561894_at	LOC653739
1561897_at	RP11-932O9.4
1561899_at	CLECL1
1561905_at	BC048141
1561908_a_at	HS3ST3B1
1561909_at	BC052578
1561909_at	RP11-398G24.2
1561914_at	BC048997
1561916_at	BC042811
1561916_at	RP11-340I6.8
1561923_a_at	SF3B6
1561927_at	ANKUB1
1561928_s_at	ANKUB1
1561937_x_at	IGHA1
1561937_x_at	IGHG1
1561937_x_at	IGHM
1561937_x_at	IGHV4-31
1561939_at	DYNC2H1
1561940_at	CHFR
1561940_at	LOC100128843
1561942_x_at	ERVK13-1
1561948_at	COQ10B
1561951_at	SLC5A12
1561960_at	CSPG4P5
1561961_at	PHF2P1
1561963_at	MIR4296
1561965_at	SNRPB2
1561966_at	BC041363
1561967_at	BC041347
1561967_at	FLNB-AS1
1561967_at	FLNB-AS1
1561969_at	ZPLD1
1561973_at	SMARCC2
1561976_at	C1orf167
1561978_at	LOC284798
1561979_at	LOC100505635
1561983_at	LINC01206
1561984_at	LINC00838
1561985_at	C14orf39
1561988_at	LOC286068
1561990_at	LOC157931
1562000_at	LOC400620
1562002_at	MYOZ3
1562004_x_at	MYOZ3
1562005_at	RIN3
1562011_at	DOCK4-AS1
1562012_at	LOC100506730
1562013_a_at	LOC100506730
1562017_at	LOC100130654
1562019_at	NT5DC4
1562020_s_at	NT5DC4
1562022_s_at	LOC100130987
1562022_s_at	RAD9A
1562023_at	BC037970
1562023_at	RP11-94M14.2
1562026_at	WNK2
1562028_at	CCND3
1562029_at	LOC101927495
1562030_at	LOC284898
1562031_at	JAK2
1562032_at	RP4-539M6.14
1562034_at	LINC00163
1562036_at	RP11-109G23.3
1562038_at	LOC101928694
1562044_at	LOC101928580
1562046_at	LOC101927244
1562048_at	LOC152225
1562049_at	LOC101927734
1562051_at	LOC729296
1562051_at	MIR646HG
1562052_at	LOC101927159
1562053_at	RP11-10K16.1
1562054_at	SMEK3P
1562056_at	AC017002.2
1562058_at	AK094733
1562058_at	RP11-114G22.1
1562065_at	LOC101927582
1562066_at	TRIQK
1562069_at	AX747405
1562071_at	BC045791
1562073_at	LOC101927815
1562074_a_at	UNC13C
1562078_at	LOC101929172
1562080_at	LINC00424
1562081_a_at	LINC00424
1562086_at	BC044614
1562089_at	GLYATL1
1562095_at	SLMAP
1562098_at	BC062763
1562100_at	BC024169
1562103_at	LINC01359
1562107_at	LOC101928833
1562110_at	BC022892
1562111_at	BC048132
1562112_at	BC045788
1562116_at	LOC101928537
1562121_at	CHL1-AS1
1562122_at	RP11-214N1.1
1562130_at	IQCA1
1562133_x_at	ZNF90
1562139_a_at	FOXP2
1562142_at	SKIV2L2
1562152_at	LOC101928298
1562153_a_at	MIR1204
1562153_a_at	PVT1
1562157_at	LOC101928770
1562167_a_at	DEFB122
1562173_a_at	LINC00555
1562190_at	LOC101928739
1562201_x_at	RP11-357G3.2
1562209_at	DCAF4L1
1562211_a_at	ZNF491
1562214_at	LINC01107
1562217_at	FLJ34521
1562219_at	LINC00951
1562220_at	RP11-195M16.3
1562222_at	LOC101927606
1562223_at	LOC642426
1562226_at	VWDE
1562227_at	PDE5A
1562228_s_at	PDE5A
1562232_at	RP11-508N22.12
1562234_a_at	NAV3
1562236_at	KAT6B
1562238_at	USPL1
1562239_at	SGSM1
1562240_at	PLXNA4
1562244_at	ZNF578
1562245_a_at	ZNF578
1562247_at	LOC286058
1562249_at	EPHA1-AS1
1562251_a_at	LOC574538
1562253_at	SLC7A11-AS1
1562255_at	SYTL3
1562256_at	NLRP1
1562257_x_at	NLRP1
1562259_at	TEX9
1562261_at	AMZ1
1562263_at	LOC100507156
1562264_at	LOC339685
1562267_s_at	ZNF709
1562269_at	RP11-203B7.2
1562270_at	ARHGEF7
1562271_x_at	ARHGEF7
1562272_at	LOC101927914
1562273_at	CNGA4
1562274_at	LOC101928446
1562278_at	DNAH1
1562282_at	ZNF568
